timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
534000,534000,1311004,1311004,1.4138939e-05,1.7112712e-05,-2.528441e-06,1.998561e-05,0.00033950174,-0.039583184,4000,4000,0,0
1000000,1000000,1311004,1311004,-2.963818e-05,-2.4517496e-05,-1.4418206e-05,0.0001528081,0.00020871471,-0.039318115,4000,4000,0,0
1500000,1500000,1311004,1311004,-7.3767756e-06,-8.945673e-07,3.1002926e-06,0.00021362922,-0.00020051675,-0.039280605,4000,4000,0,0
2002000,2002000,1311004,1311004,-2.1569027e-05,5.4434354e-06,2.0443724e-05,-0.0002538833,-2.1437424e-06,-0.039174255,4000,4000,0,0
2503000,2503000,1311004,1311004,-5.5988867e-06,-1.6503935e-05,-1.3245751e-05,-0.00018480126,-8.171261e-05,-0.039262377,4000,4000,0,0
3000000,3000000,1311004,1311004,9.156811e-06,-2.90455e-05,1.7315022e-05,5.505932e-05,-0.00029309563,-0.038524497,4000,4000,0,0
3502000,3502000,1311004,1311004,-2.1646245e-05,-5.4431084e-06,-1.0811143e-05,-0.00043755362,-0.00015130383,-0.048972443,5000,5000,0,0
4003000,4003000,1311004,1311004,8.540922e-06,3.3503832e-06,-1.9475312e-05,0.00013605216,2.5955438e-05,-0.03951633,4000,4000,0,0
4502000,4502000,1311004,1311004,8.200107e-06,9.974552e-06,-1.8627661e-05,-0.00016517924,-9.81433e-06,-0.03884694,4000,4000,0,0
5002000,5002000,1311004,1311004,4.4613876e-06,-4.5234898e-07,1.4444129e-06,1.1644022e-05,0.00015658833,-0.03957112,4000,4000,0,0
5500000,5500000,1311004,1311004,7.0991528e-06,6.7679234e-06,-7.220872e-06,-0.00019227887,-0.00025661217,-0.039152723,4000,4000,0,0
6003000,6003000,1311004,1311004,-4.827537e-06,-1.0499493e-05,1.7476097e-05,0.00017522115,3.5570734e-05,-0.03927206,4000,4000,0,0
6503000,6503000,1311004,1311004,2.8956774e-05,-1.8311293e-05,2.6068383e-05,9.7279124e-05,-1.3491711e-05,-0.0389911,4000,4000,0,0
