timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
540000,-40,32767,32767,32767,32767,32767
544000,-40,32767,32767,32767,32767,32767
548000,-40,32767,32767,-40,32767,32767
552000,-40,32767,32767,32767,32767,32767
556000,-40,32767,32767,32767,-40,32767
560000,-40,32767,32767,32767,32767,32767
564000,-40,32767,32767,32767,32767,32767
568000,-40,32767,32767,32767,32767,32767
572000,-40,32767,32767,32767,0,32767
576000,-40,32767,32767,32767,32767,32767
580000,-40,32767,32767,32767,32767,32767
584000,-40,32767,32767,32767,32767,32767
588000,-40,32767,32767,32767,32767,32767
592000,-40,32767,32767,32767,32767,32767
596000,-40,32767,32767,32767,-40,32767
600000,-40,32767,32767,-40,32767,32767
604000,-40,32767,32767,32767,32767,32767
608000,-40,32767,32767,32767,32767,32767
612000,-40,32767,32767,32767,0,32767
616000,-40,32767,32767,32767,32767,32767
620000,-40,32767,32767,32767,32767,32767
624000,-40,32767,32767,32767,32767,32767
628000,-40,32767,32767,32767,32767,32767
632000,-40,32767,32767,32767,32767,32767
636000,-40,32767,32767,32767,-40,32767
640000,-40,32767,32767,32767,32767,32767
644000,-40,32767,32767,32767,32767,32767
648000,-40,32767,32767,32767,32767,32767
652000,-40,32767,32767,-40,0,32767
656000,-40,32767,32767,32767,32767,32767
660000,-40,32767,32767,32767,32767,32767
664000,-40,32767,32767,32767,32767,32767
668000,-40,32767,32767,32767,32767,32767
672000,-40,32767,32767,32767,0,32767
676000,-40,32767,32767,32767,32767,32767
680000,-40,32767,32767,32767,32767,32767
684000,-40,32767,32767,32767,32767,32767
688000,-40,32767,32767,32767,32767,32767
692000,-40,32767,32767,32767,0,32767
696000,-40,32767,32767,32767,32767,32767
700000,-40,32767,32767,32767,32767,32767
704000,-40,32767,32767,-40,32767,32767
708000,-40,32767,32767,32767,32767,32767
712000,-40,32767,32767,32767,32767,32767
716000,-40,32767,32767,32767,-40,32767
720000,-40,32767,32767,32767,32767,32767
724000,-40,32767,32767,32767,32767,32767
728000,-40,32767,32767,32767,32767,32767
732000,-40,32767,32767,32767,0,32767
736000,-40,32767,32767,32767,32767,32767
740000,-40,32767,32767,32767,32767,32767
744000,-40,32767,32767,32767,32767,32767
748000,-40,32767,32767,32767,32767,32767
752000,-40,32767,32767,32767,0,32767
756000,-40,32767,32767,-40,32767,32767
760000,-40,32767,32767,32767,32767,32767
764000,-40,32767,32767,32767,32767,32767
768000,-40,32767,32767,32767,32767,32767
772000,-40,32767,32767,32767,0,32767
776000,-40,32767,32767,32767,32767,32767
780000,-40,32767,32767,32767,32767,32767
784000,-40,32767,32767,32767,32767,32767
788000,-40,32767,32767,32767,32767,32767
793000,-50,32767,32767,32767,32767,32767
797000,-40,32767,32767,32767,-40,32767
801000,-40,32767,32767,32767,32767,32767
805000,-40,32767,32767,0,32767,32767
809000,-40,32767,32767,32767,32767,32767
813000,-40,32767,32767,32767,0,32767
817000,-40,32767,32767,32767,32767,32767
821000,-40,32767,32767,32767,32767,32767
825000,-40,32767,32767,32767,32767,32767
829000,-40,32767,32767,32767,32767,32767
833000,-40,32767,32767,32767,32767,32767
837000,-40,32767,32767,32767,-40,32767
841000,-40,32767,32767,32767,32767,32767
845000,-40,32767,32767,32767,32767,32767
849000,-40,32767,32767,32767,32767,32767
853000,-40,32767,32767,32767,0,32767
857000,-40,32767,32767,32767,32767,32767
862000,-50,32767,32767,-50,32767,32767
866000,-40,32767,32767,32767,32767,32767
870000,-40,32767,32767,32767,32767,32767
874000,-40,32767,32767,32767,32767,32767
878000,-40,32767,32767,32767,-40,32767
885000,-70,32767,32767,32767,32767,32767
889000,-40,32767,32767,32767,32767,32767
893000,-40,32767,32767,32767,32767,32767
