timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1516000,4000000.0,1.0,0.0,0.0,58,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2271000,4000000.0,1.0,2431.1377,0.0,99,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419000,4000000.0,1.0,2431.1377,0.0,114,0,0.0,1,0,0,0,0,0.0,0,0,0,1,0,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3427000,4000000.0,1.0,1857.5698,0.0,176,0,16.932272,4,0,0,0,0,0.0,0,0,0,1,0,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4424000,4000000.0,1.0,4976.048,0.0,375,0,335.32935,17,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5430000,4000000.0,1.0,7727.273,0.0,585,0,20.979021,18,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6416000,4000000.0,1.0,8173.826,0.0,797,0,20.979021,19,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7418000,4000000.0,1.0,8407.186,0.0,1008,0,20.958084,20,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8420000,4000000.0,1.0,8157.5273,0.0,1221,0,20.93719,21,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9419000,4000000.0,1.0,8241.759,0.0,1432,0,20.979021,22,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10426000,4000000.0,1.0,8327.346,0.0,1692,0,20.958084,24,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11486000,4000000.0,1.0,12483.068,0.0,2046,0,46.81275,25,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12425000,4000000.0,1.0,15582.835,0.0,2389,0,20.958084,26,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13426000,4000000.0,1.0,15682.635,0.0,2750,0,20.958084,27,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14425000,4000000.0,1.0,15552.448,0.0,3113,0,20.979021,28,0,0,0,0,0.0,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15416000,4000000.0,1.0,15998.006,0.0,3484,0,686.9392,81,13208,0,0,0,163.06172,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16424000,4000000.0,1.0,15810.38,0.0,3849,0,6399.2017,178,37592,0,0,0,211.19101,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17426000,4000000.0,1.0,15671.984,0.0,4211,0,6307.0786,277,62484,0,0,0,225.574,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18425000,4000000.0,1.0,15556.773,0.0,4574,0,6236.056,371,86106,0,0,0,232.09164,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19426000,4000000.0,1.0,15744.512,0.0,4938,0,6269.4614,471,111252,0,0,0,236.20383,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20426000,4000000.0,1.0,15573.28,0.0,5304,0,6177.468,568,135382,0,0,0,238.34859,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21422000,4000000.0,1.0,15757.243,0.0,5666,0,6280.719,662,159004,0,0,0,240.18732,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22424000,4000000.0,1.0,15557.77,0.0,6030,0,6106.5737,758,183134,0,0,0,241.60158,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23495000,4000000.0,1.0,15931.275,0.0,6391,0,6106.5737,861,209042,0,0,0,242.78978,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24418000,4000000.0,1.0,14390.609,0.0,6729,0,6232.7676,949,231140,0,0,0,243.56165,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25426000,4000000.0,1.0,15680.279,0.0,7090,0,6171.315,1046,255524,0,0,0,244.2868,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26416000,4000000.0,1.0,15512.463,0.0,7453,0,6177.468,1141,279400,0,0,0,244.87292,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27417000,4000000.0,1.0,15596.212,0.0,7814,0,6112.662,1237,303530,0,0,0,245.37592,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28423000,4000000.0,1.0,15466.136,0.0,8177,0,6236.056,1333,327660,0,0,0,245.80646,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29426000,4000000.0,1.0,15566.733,0.0,8538,0,6236.056,1429,351790,0,0,0,246.17915,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30418000,4000000.0,1.0,15765.937,0.0,8904,0,6171.315,1525,375666,0,0,0,246.33836,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31443000,4000000.0,1.0,15685.629,0.0,9272,0,6209.581,1625,400812,0,0,0,246.65353,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32416000,4000000.0,1.0,15499.501,0.0,9628,0,6319.6807,1717,423926,0,0,0,246.89925,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33425000,4000000.0,1.0,15603.397,0.0,9989,0,6124.8755,1815,448564,0,0,0,247.1427,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34426000,4000000.0,1.0,15462.612,0.0,10352,0,6177.468,1911,472694,0,0,0,247.35426,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35424000,4000000.0,1.0,15542.915,0.0,10713,0,6183.633,2006,496570,0,0,0,247.54237,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36424000,4000000.0,1.0,15452.097,0.0,11076,0,6118.7627,2101,520446,0,0,0,247.71347,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37416000,4000000.0,1.0,15553.34,0.0,11438,0,6177.468,2196,544322,0,0,0,247.86977,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38425000,4000000.0,1.0,15798.806,0.0,11802,0,6106.5737,2291,568198,0,0,0,248.01309,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39417000,4000000.0,1.0,15729.541,0.0,12167,0,6334.3315,2388,592582,0,0,0,248.14992,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40432000,4000000.0,1.0,15539.921,0.0,12532,0,6183.633,2487,617220,0,0,0,248.17853,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41422000,4000000.0,1.0,15616.384,0.0,12893,0,6215.784,2583,641350,0,0,0,248.29655,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42427000,4000000.0,1.0,15558.325,0.0,13257,0,6112.662,2678,665226,0,0,0,248.40404,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43445000,4000000.0,1.0,15667.333,0.0,13626,0,6189.8105,2775,689610,0,0,0,248.5081,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44427000,4000000.0,1.0,15510.957,0.0,13983,0,6171.315,2868,712978,0,0,0,248.59763,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45427000,4000000.0,1.0,15638.086,0.0,14345,0,6177.468,2966,737616,0,0,0,248.69049,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46424000,4000000.0,1.0,15838.6455,0.0,14709,0,6236.056,3062,761746,0,0,0,248.774,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47424000,4000000.0,1.0,15660.34,0.0,15071,0,6124.8755,3157,785622,0,0,0,248.85081,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48425000,4000000.0,1.0,15504.478,0.0,15435,0,6165.174,3253,809752,0,0,0,248.92468,0,0,0,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
