timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
745000,745000,3.485375e-10,1.7372578e-05,0.0007756289,6.2607665e-05,0.0016125613,1.1494273e-05,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
757000,757000,3.6159473e-10,1.7613664e-05,0.0007617672,0.00017412075,0.0018075538,2.3879884e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
946000,946000,4.3292042e-10,2.2181513e-05,0.00077492365,0.00036273568,0.00072603277,0.0070244563,512,0,0.63065034,1.7506394,0.0,nan,nan,0.00045946558,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1138000,1138000,4.273961e-10,2.3325874e-05,0.0006115939,0.00014604746,0.00056706474,0.0055295145,67109376,0,1.2168305,1.2399989,2.6383277e-05,nan,nan,0.0026799007,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1348000,1348000,4.5184403e-10,2.4768875e-05,0.0007977593,4.7190947e-06,0.0013908427,0.014930714,512,0,0.38333145,1.017692,0.0,nan,nan,0.0017006656,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1538000,1538000,5.16846e-10,2.6366253e-05,0.0014943329,1.8185026e-05,0.0011176221,0.0020430526,512,0,0.6187848,0.8893847,0.0,nan,nan,0.0010198377,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1738000,1738000,5.207395e-10,2.706593e-05,0.0010488974,5.3984008e-05,0.0015646012,0.0011363492,512,0,0.7214707,0.81050754,0.0,nan,nan,0.00075144606,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1948000,1948000,5.0348076e-10,2.7073547e-05,0.0010794624,8.115597e-05,0.0019465097,0.005368651,512,0,0.71942246,0.7622555,0.0,nan,nan,0.0016081032,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2141000,2141000,5.021224e-10,2.7846114e-05,0.0010112313,0.00012061016,0.0016817802,0.0023150754,512,0,0.67482567,0.7302853,0.0,nan,nan,0.0026701402,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2339000,2339000,5.3663607e-10,2.8377355e-05,0.0010796735,0.0001731597,0.001782458,0.0030533327,512,0,0.6656205,0.7296884,0.0,nan,nan,0.00031491535,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2538000,2538000,5.222766e-10,2.8095244e-05,0.0010868007,0.00029501994,0.0024107352,0.0033710436,512,0,0.66924405,0.7235962,0.0,nan,nan,0.00044115036,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2748000,2748000,5.074501e-10,2.7047936e-05,0.0011763314,0.0003833868,0.0028976304,0.0022298992,512,0,0.68773955,0.72852486,0.0,nan,nan,0.00029446615,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
