timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6802000,6802000,0.9999976,-4.9286467e-05,0.00011976242,-0.0021872553,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
6806000,6806000,0.9999977,-5.4029584e-05,0.00011915682,-0.0021700049,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
7302000,7302000,0.99999744,-6.128504e-05,3.1453856e-05,-0.0022794134,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
7803000,7803000,0.9999977,-4.618855e-08,0.00023191991,-0.0021354866,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
8301000,8301000,0.99999803,-1.537364e-05,-1.9416319e-05,-0.001976079,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
8802000,8802000,0.9999981,9.612868e-05,-9.7890166e-05,-0.0019735466,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
9302000,9302000,0.9999983,-1.8907984e-05,-5.37837e-05,-0.0018444628,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
9801000,9801000,0.99999875,-3.8163067e-05,0.00010472515,-0.0016301112,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
10302000,10302000,0.99999857,0.00013010093,0.00029982047,-0.0016737065,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
10802000,10802000,0.99999833,0.00042325925,0.00033592348,-0.0017811644,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
11303000,11303000,0.99999815,0.0009829183,-0.0002997273,-0.0016650845,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
11803000,11803000,0.9999983,0.001144155,-0.0002764172,-0.0014437563,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
12301000,12301000,0.9999977,0.0013126843,-0.0014361518,-0.000928664,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
12803000,12803000,0.99999595,0.0025268232,-0.001118328,-0.0006753381,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
13304000,13300000,0.9999989,0.0008688522,-0.0011651542,-0.00024128851,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
13802000,13798000,0.99999976,0.00015292717,-0.000730083,-0.00027441836,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
14303000,14303000,0.9999991,-0.00021379648,-0.0011367503,-0.0006668149,0.9980542,-1.8189894e-12,1.5006663e-11,-0.062352072,2
