timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
801000,801000,0,nan,nan,7.6112656e-07,-8.832089e-07,4.2528924e-07,0.0,0.0,0.0,0.00014437434,-0.0002977586,0.00020321121,0.00020287807,0.00028149987,-0.00017144147,0.0,-0.032768056,-0.03470038,0.05170423,0.1201842,0.120177306,nan,0.10000028,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1003000,1003000,0,nan,nan,-0.00069624605,0.00028143817,0.007664317,0.0,0.0,0.0,-0.004589624,0.0018789284,0.0017733112,0.0090471795,0.00028149987,-0.00017144147,0.0,-0.03927402,-0.029325621,0.07828138,0.12044065,0.120177306,nan,0.1284629,0.14069958,1.5657272,3.6390235,0.4516064,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1499000,1499000,0,nan,nan,-0.0025305636,0.0014214271,0.03140914,0.0,0.0,0.0,-0.0076478175,0.0034420353,0.001413086,0.022116287,0.00028149987,-0.00017144147,0.0,-0.04796473,0.036850642,-0.024231523,0.120116614,0.120177306,nan,0.1,0.3604042,0.9458145,1.1693653,0.4648081,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1996000,1996000,0,nan,nan,-0.0046042744,0.0016013983,0.02078805,0.0,0.0,0.0,-0.007238417,0.0035585228,-0.0027697808,0.0005348197,0.00028149987,-0.00017144147,0.0,0.0060044844,0.023884887,0.07840804,0.120056435,0.120177306,nan,0.1,0.64780426,0.7614503,1.3415617,0.49162966,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2496000,2496000,0,nan,nan,-0.0024647505,0.0025012214,0.015740797,0.0,0.0,0.0,-0.002236115,0.006076662,0.0071371696,0.004665327,0.00028149987,-0.00017144147,0.0,0.012991876,-0.041709468,-0.106008716,0.12006218,0.120177306,nan,0.1,0.5468868,0.7122521,1.2702631,0.5204356,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3004000,3004000,0,nan,nan,-1.8021468e-05,0.0021501353,0.012313265,0.0,0.0,0.0,0.0014961452,0.002922269,-6.5503264e-06,-0.0045700944,0.00028149987,-0.00017144147,0.0,0.008072896,-0.016767481,0.0012047589,0.119644366,0.120177306,nan,0.1,0.6699757,0.73835814,1.4643315,0.5459613,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3493000,3493000,0,nan,nan,0.0006944969,-0.00069693476,0.011894765,0.0,0.0,0.0,3.6641064e-05,-0.003769672,0.007419762,0.0036418077,0.00028149987,-0.00017144147,0.0,0.04586509,0.003043634,-0.09386706,0.11982825,0.120177306,nan,0.1,0.5321773,0.7588808,1.1574607,0.5494388,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3994000,3994000,0,nan,nan,0.00053215114,-0.0027111126,0.015640015,0.0,0.0,0.0,0.000567181,-0.00841335,0.0073119374,0.0051123756,0.00028149987,-0.00017144147,0.0,0.048508838,0.014255645,-0.07871258,0.119744465,0.120177306,nan,0.10058234,0.60595864,0.79659694,1.185583,0.54697293,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4495000,4495000,0,nan,nan,0.0023635887,-0.0044819475,0.02097158,0.0,0.0,0.0,0.007710243,-0.009662485,0.008023485,0.0075003477,0.00028149987,-0.00017144147,0.0,0.09842443,-0.011254055,0.06184354,0.12006339,0.120177306,nan,0.1,0.6750252,0.8021752,1.1959039,0.5261953,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4996000,4996000,0,nan,nan,0.004748418,-0.0036130215,0.020335492,0.0,0.0,0.0,0.01222448,-0.008780885,0.0046268445,0.0011762815,0.00028149987,-0.00017144147,0.0,0.05331147,-0.0739548,0.09670015,0.11999673,0.120177306,nan,0.1,0.5404232,0.81880945,0.9582728,0.51047117,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5503000,5503000,0,nan,nan,0.005505415,-0.0030274924,0.014852359,0.0,0.0,0.0,0.010000258,-0.0024415087,0.0020193676,-0.0057830946,0.00028149987,-0.00017144147,0.0,-0.021493249,0.0058053927,-0.17379782,0.120150216,0.120177306,nan,0.1,0.6090935,0.8105771,0.97312844,0.4856401,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
6003000,6003000,0,nan,nan,0.0030880666,0.0001821674,0.012031985,0.0,0.0,0.0,0.001462477,0.0043214606,-0.0016648069,-0.008876528,0.00028149987,-0.00017144147,0.0,-0.041287616,0.027127123,-0.13795401,0.12008263,0.120177306,nan,0.101440884,0.4934624,0.79426146,0.771005,0.4601591,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,0
6493000,6493000,6104000,40.154029400000006,116.25936700000001,-0.0019157588,0.002740436,0.013165111,0.0,0.0,0.0,-0.007667434,0.00337404,-0.0015932278,-0.005429583,0.00028149987,-0.00017144147,0.0,-0.009878822,-0.019741794,0.027803702,0.12037809,0.120177306,51.27846,0.1,0.5307517,0.7933042,0.752867,0.44296524,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6993000,6993000,6104000,40.154029400000006,116.25936700000001,-0.005621941,0.0024280308,0.007736201,0.0,0.0,0.0,-0.007460073,0.003626025,-0.0032316626,-0.008625286,0.00028149987,-0.00017144147,0.0,0.027224394,0.06622757,0.13111624,-0.0030637553,-0.12322505,51.27846,0.1,0.56128734,0.7750401,0.65214705,0.41993,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7497000,7497000,6104000,40.154029400000006,116.25936700000001,-0.0047450815,0.0015742853,-0.0007540928,0.0,0.0,0.0,-0.0033163573,0.0011567927,-0.0022547261,-0.010700246,0.00028149987,-0.00017144147,0.0,0.053064816,0.058985174,-0.011922791,-0.0040400075,-0.12322505,51.27846,0.1,0.4406772,0.7721976,0.49458563,0.40393695,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7994000,7994000,6104000,40.154029400000006,116.25936700000001,-0.0024456505,0.0010450291,0.003204656,0.0,0.0,0.0,-0.0036061676,0.00349427,0.007685156,0.0053832834,0.00028149987,-0.00017144147,0.0,-0.016715432,-0.03502285,-0.02220366,-0.0043239114,-0.12322505,51.27846,0.1056248,0.4698211,0.7576996,0.5845798,0.38382035,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8423000,8423000,6104000,40.154029400000006,116.25936700000001,-0.0022752741,0.0018111671,0.012088957,0.0,0.0,0.0,-0.001424101,0.0051890495,0.009979432,0.011608064,0.00028149987,-0.00017144147,0.0,-0.005880276,0.061990965,0.0672806,-0.0039850716,-0.12322505,51.27846,0.1,0.4842184,0.75102246,0.6152568,0.3690839,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8996000,8996000,6104000,40.154029400000006,116.25936700000001,-0.0006284517,0.0039208573,0.012391461,0.0,0.0,0.0,-0.00029082535,0.00819696,0.006897357,0.0048836204,0.00028149987,-0.00017144147,0.0,-0.064357616,0.07313304,-0.0912398,-0.0037709402,-0.12322505,51.27846,0.1,0.44301707,0.74567217,0.557744,0.3537566,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9499000,9499000,6104000,40.154029400000006,116.25936700000001,0.00012052944,0.0051367492,0.01559319,0.0,0.0,0.0,-0.0013696171,0.008098929,0.0041692737,0.0031733962,0.00028149987,-0.00017144147,0.0,0.019430537,-0.013281371,-0.014691613,-0.0038336832,-0.12322505,51.27846,0.10133889,0.4815269,0.7268709,0.52846503,0.33437717,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9999000,9999000,6104000,40.154029400000006,116.25936700000001,9.65779e-05,0.0053874007,0.020393925,0.0,0.0,0.0,-0.001228956,0.007991808,0.0054954207,0.005979824,0.00028149987,-0.00017144147,0.0,-0.040542092,0.032150526,-0.056549903,-0.0036884414,-0.12322505,51.27846,0.1,0.41590908,0.72454077,0.41574156,0.32116818,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
10499000,10499000,6104000,40.154029400000006,116.25936700000001,0.066032596,0.055000864,-0.01660264,0.08912453,0.039443403,0.0,-0.013328978,-0.008218995,-0.066662945,-0.069619894,0.020288879,-0.04608782,-0.05775775,-0.047383443,-0.0051973104,-0.028169712,-0.0040571173,-0.12322505,51.27846,0.104159266,0.30700263,0.6168745,0.22024874,0.18283767,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10996000,10996000,6104000,40.154029400000006,116.25936700000001,0.058619138,0.07264804,-0.037341032,0.08912453,0.039443403,0.0,-0.03700965,-0.007357265,-0.058122084,-0.04804072,0.020288879,-0.04608782,-0.05775775,-0.06227595,0.008833783,0.023327766,-0.0041538547,-0.12322505,51.27846,0.1131175,0.24719474,0.5484106,0.19158211,0.14620669,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11499000,11499000,6104000,40.154029400000006,116.25936700000001,0.05914268,0.069229946,-0.05698624,0.08912453,0.039443403,0.0,-0.018578712,-0.007034838,-0.057451867,-0.047056604,0.020288879,-0.04608782,-0.05775775,0.079954304,0.011573692,-0.05016196,-0.004229949,-0.12322505,51.27846,0.1,0.24631715,0.5124737,0.2121167,0.13910772,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11997000,11997000,6104000,40.154029400000006,116.25936700000001,0.034429494,0.07626117,-0.048713353,0.08912453,0.039443403,0.0,-0.038093567,0.015571217,-0.043595016,-0.011040801,0.020288879,-0.04608782,-0.05775775,-0.047102682,0.05158854,-0.10217446,-0.0039400114,-0.12322505,51.27846,0.11481151,0.26276806,0.48603025,0.25136495,0.1364847,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12497000,12497000,6104000,40.154029400000006,116.25936700000001,0.0048385863,0.09029116,-0.049199864,0.08912453,0.039443403,0.0,-0.056560256,0.02788034,-0.033744134,-0.0026045907,0.020288879,-0.04608782,-0.05775775,-0.02729219,-0.023279006,-0.07773842,-0.0030154581,-0.12322505,51.27846,0.104882404,0.3685487,0.48089764,0.35923868,0.14684965,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12998000,12998000,6104000,40.154029400000006,116.25936700000001,-0.027971474,0.105334856,-0.05256962,0.08912453,0.039443403,0.0,-0.07047957,0.036963485,-0.022535034,0.0031654476,0.020288879,-0.04608782,-0.05775775,-0.108279526,-0.04530467,-0.05575083,-0.002700027,-0.12322505,51.27846,0.10246349,0.54529136,0.48882294,0.48627865,0.15800545,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13498000,13498000,6104000,40.154029400000006,116.25936700000001,-0.06454142,0.12518132,-0.049732696,0.08912453,0.039443403,0.0,-0.07856633,0.049279027,-0.017484235,0.0071372064,0.020288879,-0.04608782,-0.05775775,0.010011688,0.033880834,-0.006953254,-0.0021633424,-0.12322505,51.27846,0.1035375,0.7994148,0.49744835,0.63343245,0.16790026,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13997000,13997000,6104000,40.154029400000006,116.25936700000001,0.013351919,0.07009519,-0.06252042,0.08912453,0.039443403,0.0,-0.024976866,0.013640672,-0.021832673,-0.01429801,0.020288879,-0.04608782,-0.05775775,0.031264227,-0.034111053,-0.09789224,-0.001920367,-0.12322505,51.27846,0.1,0.28854358,0.45629486,0.2041631,0.14239581,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14497000,14497000,6104000,40.154029400000006,116.25936700000001,0.050214805,0.05262607,-0.07231141,0.08912453,0.039443403,0.0,-5.9869664e-05,0.0011427794,-0.021675702,-0.013769048,0.020288879,-0.04608782,-0.05775775,0.08828071,-0.014955394,0.11604372,-0.0021540949,-0.12322505,51.27846,0.10301825,0.36157665,0.46791884,0.27343494,0.15281834,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14996000,14996000,6104000,40.154029400000006,116.25936700000001,0.062087458,0.053917132,-0.08533733,0.08912453,0.039443403,0.0,0.0100533245,-0.0009957969,-0.024015551,-0.02263437,0.020288879,-0.04608782,-0.05775775,-0.0073968554,-0.050453097,-0.06400234,-0.0025874076,-0.12322505,51.27846,0.1,0.3602136,0.4662817,0.2617317,0.15303676,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15502000,15498000,6104000,40.154029400000006,116.25936700000001,0.0639989,0.089539334,-0.10806778,0.08912453,0.039443403,0.0,0.018545536,0.014024691,-0.024113834,-0.026306232,0.020288879,-0.04608782,-0.05775775,0.08049717,-0.09128363,-0.10658148,-0.002499399,-0.12322505,51.27846,0.10557827,0.3652183,0.4694594,0.26175284,0.15388758,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16000000,15996000,6104000,40.154029400000006,116.25936700000001,0.06381242,0.1210962,-0.09311262,0.08912453,0.039443403,0.0,0.031631026,0.0056315335,-0.0132128075,0.003182514,0.020288879,-0.04608782,-0.05775775,-0.048827413,-0.048617754,0.019867903,-0.0025430443,-0.12322505,51.27846,0.1,0.28568864,0.44557652,0.2024994,0.13986829,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
