timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
502000,1310988,1310988,1310996,1311004,0,0.00097633526,0.0004867631,0.00048860797,0.0,1310988,1310988,1310996,1311004,0,0.00012498269,6.251559e-05,6.2473424e-05,0.0,1,1,1,0,1,1,1,0
506000,1310988,1310988,1310996,1311004,0,0.0010083176,0.0005007484,0.0005065996,0.0,1310988,1310988,1310996,1311004,0,9.7159704e-05,4.83798e-05,4.8786478e-05,0.0,1,1,1,0,1,1,1,0
698000,1310988,1310988,1310996,1311004,0,0.002010566,0.001004634,0.001005223,0.0,1310988,1310988,1310996,1311004,0,6.404064e-05,3.203974e-05,3.2000924e-05,0.0,1,1,1,0,1,1,1,0
900000,1310988,1310988,1310996,1311004,0,0.0041587413,0.0020790137,0.0020790137,0.0,1310988,1310988,1310996,1311004,0,5.858786e-05,2.9293953e-05,2.9293953e-05,0.0,1,1,1,0,1,1,1,0
1101000,1310988,1310988,1310996,1311004,0,0.003692627,0.005570873,0.0035687513,0.0,1310988,1310988,1310996,1311004,0,0.00024749033,0.0002727865,0.00010804777,0.0,1,1,1,0,1,1,1,0
1305000,1310988,1310988,1310996,1311004,0,0.0023527392,0.0012246285,0.003394871,0.0,1310988,1310988,1310996,1311004,0,0.00014325236,0.00020924327,7.436452e-05,0.0,1,1,1,0,1,1,1,0
1505000,1310988,1310988,1310996,1311004,0,0.005864582,0.003129766,0.0031351822,0.0,1310988,1310988,1310996,1311004,0,0.00043609156,0.0003515996,9.969092e-05,0.0,1,1,1,0,1,1,1,0
1705000,1310988,1310988,1310996,1311004,0,0.0047669634,0.0018318353,0.005132903,0.0,1310988,1310988,1310996,1311004,0,0.0003949615,0.00015811247,0.00029574544,0.0,1,1,1,0,1,1,1,0
1905000,1310988,1310988,1310996,1311004,0,0.004274631,0.0032254227,0.0067123603,0.0,1310988,1310988,1310996,1311004,0,0.000178634,0.00010796682,0.00022595785,0.0,1,1,1,0,1,1,1,0
2105000,1310988,1310988,1310996,1311004,0,0.0015866172,0.0013106245,0.0010343166,0.0,1310988,1310988,1310996,1311004,0,0.00016756463,0.00015773192,0.00015701112,0.0,1,1,1,0,1,1,1,0
2303000,1310988,1310988,1310996,1311004,0,0.0049809413,0.0018162613,0.0045310506,0.0,1310988,1310988,1310996,1311004,0,0.00023997868,0.00022689863,0.00030922267,0.0,1,1,1,0,1,1,1,0
2503000,1310988,1310988,1310996,1311004,0,0.003154666,0.0046769693,0.0028415797,0.0,1310988,1310988,1310996,1311004,0,0.0001880168,0.0001257821,0.00021155027,0.0,1,1,1,0,1,1,1,0
2704000,1310988,1310988,1310996,1311004,0,0.0034796018,0.0031092723,0.002567845,0.0,1310988,1310988,1310996,1311004,0,0.00019320709,0.00020521467,0.00030025744,0.0,1,1,1,0,1,1,1,0
2903000,1310988,1310988,1310996,1311004,0,0.0015054154,0.0022260405,0.0012783227,0.0,1310988,1310988,1310996,1311004,0,6.709362e-05,9.314707e-05,0.000118565156,0.0,1,1,1,0,1,1,1,0
3103000,1310988,1310988,1310996,1311004,0,0.002724017,0.0013360926,0.001746208,0.0,1310988,1310988,1310996,1311004,0,0.00045434042,0.00015168155,0.00031151893,0.0,1,1,1,0,1,1,1,0
3302000,1310988,1310988,1310996,1311004,0,0.0032888416,0.0017936719,0.003061888,0.0,1310988,1310988,1310996,1311004,0,0.00030053806,0.00017848493,0.00017180583,0.0,1,1,1,0,1,1,1,0
3505000,1310988,1310988,1310996,1311004,0,0.006533625,0.0019887092,0.004883488,0.0,1310988,1310988,1310996,1311004,0,0.00028900613,0.00026803208,7.7848315e-05,0.0,1,1,1,0,1,1,1,0
3703000,1310988,1310988,1310996,1311004,0,0.0028721807,0.003267646,0.0009496745,0.0,1310988,1310988,1310996,1311004,0,0.00018177267,0.00018963286,4.9853006e-05,0.0,1,1,1,0,1,1,1,0
3902000,1310988,1310988,1310996,1311004,0,0.0042303205,0.0072045187,0.0031249493,0.0,1310988,1310988,1310996,1311004,0,0.000118674,0.00017972899,0.00011529328,0.0,1,1,1,0,1,1,1,0
4102000,1310988,1310988,1310996,1311004,0,0.0013271495,0.0018062638,0.00222197,0.0,1310988,1310988,1310996,1311004,0,0.0001848102,0.00010379537,0.00011504183,0.0,1,1,1,0,1,1,1,0
4305000,1310988,1310988,1310996,1311004,0,0.0030775045,0.00225545,0.0018929669,0.0,1310988,1310988,1310996,1311004,0,0.0002086879,0.00037046528,0.00017948559,0.0,1,1,1,0,1,1,1,0
4505000,1310988,1310988,1310996,1311004,0,0.0032857405,0.009627651,0.0075138994,0.0,1310988,1310988,1310996,1311004,0,0.00022483768,0.00040333465,0.00037293133,0.0,1,1,1,0,1,1,1,0
4702000,1310988,1310988,1310996,1311004,0,0.0015138201,0.002805773,0.0042172647,0.0,1310988,1310988,1310996,1311004,0,0.00037794292,0.00025077214,0.0003313812,0.0,1,1,1,0,1,1,1,0
4904000,1310988,1310988,1310996,1311004,0,0.0018909429,0.0019181592,0.0037650445,0.0,1310988,1310988,1310996,1311004,0,0.00015091662,0.00015195576,6.677961e-05,0.0,1,1,1,0,1,1,1,0
5104000,1310988,1310988,1310996,1311004,0,0.0033210053,0.003334312,0.0062238886,0.0,1310988,1310988,1310996,1311004,0,0.00016246995,0.00016392702,0.00029569672,0.0,1,1,1,0,1,1,1,0
5304000,1310988,1310988,1310996,1311004,0,0.00346898,0.0037528295,0.00208525,0.0,1310988,1310988,1310996,1311004,0,9.8939876e-05,0.00043959895,0.00035810744,0.0,1,1,1,0,1,1,1,0
5504000,1310988,1310988,1310996,1311004,0,0.0024013019,0.0069822627,0.0057671987,0.0,1310988,1310988,1310996,1311004,0,0.00035277515,0.00014967701,0.00034938,0.0,1,1,1,0,1,1,1,0
5705000,1310988,1310988,1310996,1311004,0,0.0008276841,0.003250387,0.0027471895,0.0,1310988,1310988,1310996,1311004,0,0.00019698705,0.0005212589,0.00036120403,0.0,1,1,1,0,1,1,1,0
5902000,1310988,1310988,1310996,1311004,0,0.005646358,0.0037679041,0.0046162633,0.0,1310988,1310988,1310996,1311004,0,0.00044604635,0.00030942902,0.00038781198,0.0,1,1,1,0,1,1,1,0
6102000,1310988,1310988,1310996,1311004,0,0.0008704754,0.006007693,0.0051774685,0.0,1310988,1310988,1310996,1311004,0,0.000121321566,0.00014262884,0.00013062135,0.0,1,1,1,0,1,1,1,0
6303000,1310988,1310988,1310996,1311004,0,0.0030844922,0.0041914857,0.0026826612,0.0,1310988,1310988,1310996,1311004,0,0.0003175133,0.0001495149,0.00042530097,0.0,1,1,1,0,1,1,1,0
